Id,Start time,Completion time,Email,Name,Language,Koliko ste stari?,Ozna?ite spol.,"Na kateri fakulteti študirate? (Študenti interdisciplinarnih programov, ki potekajo na ve?ih fakultetah, ozna?ite poljubno fakulteto.)",Na kateri stopnji študija ste trenutno?,Katere znamke telefon trenutno primarno uporabljate?,Kolikšna je bila cena telefona iz prejšnjega vprašanja ob nakupu?,Katerega leta ste kupili vaš trenutni primarni telefon?,Kdaj imate namen vaš trenutni primarni telefon zamenjati?,"Zakaj ste zamenjali vaš prejšnji telefon) (?e niste popolnoma prepri?ani, navedite najverjetnejši vzrok.)",Kaj ste naredili z vašim prejšnjim telefonom po zamenjavi?,Koliko odsluženih telefonov imate trenutno spravljenih doma?,"Zakaj ste izbrali tak na?in odvrženja odslužene naprave? (Izberite vse, kar velja.)",Ali ste pred reševanjem te ankete že slišali za odpadno elektri?no in elektronsko opremo (t. i. e-odpadke)?,"Kaj od naštetega, po vašem mnenju, spada med e-odpadke?","Kaj je, po vašem mnenju, glavni razlog, da študenti starih telefonov ne odvržejo v zbirališ?a za e-odpadke?","Kako bi, po vašem mnanju, lahko k izboljšanju znanja o e-odpadkih in pravilnem odvrženju starih telefonov pripomogla vaša fakulteta oz. univerza?"
6,12/20/2025 17:54,12/20/2025 17:55,anonymous,,Slovenš?ina,22,Moški,Fakulteta za matematiko in fiziko,Podiplomski študij (Magisterij),Xiaomi,Ne vem. / Ne spomnim se.,2022,Nimam ga namena zamenjati dokler deluje.,Po?asno delovanje / zastarelost.,Shranil/-a sem ga oziroma obdržal/-a doma.,1 - 3,Udobje / priro?nost.;,Da,Pametni telefoni;Baterije;Polnilniki in kabli;Prenosni in tabli?ni ra?unalniki;Gospodinjski elektri?ni aparati;,,
7,12/20/2025 17:55,12/20/2025 17:57,anonymous,,English (United Kingdom)?,19,Moški,Fakulteta za matematiko in fiziko,Dodiplomski študij,Xiaomi,Manj kot 200€.,2025,Nimam ga namena zamenjati dokler deluje.,"Nepopravljive poškodbe ali poškodbe, ki so predrage za popravilo.",Shranil/-a sem ga oziroma obdržal/-a doma.,4 - 6,Udobje / priro?nost.;Pomanjkanje primernih odlagališ? v moji bližini.;,Ne,Pametni telefoni;Prenosni in tabli?ni ra?unalniki;Gospodinjski elektri?ni aparati;,,
8,12/20/2025 17:53,12/20/2025 17:59,anonymous,,Slovenš?ina,20,Moški,Fakulteta za matematiko in fiziko,Dodiplomski študij,Samsung,Med 200€ in 400€.,Pred letom 2020.,Nimam ga namena zamenjati dokler deluje.,"Nepopravljive poškodbe ali poškodbe, ki so predrage za popravilo.",Shranil/-a sem ga oziroma obdržal/-a doma.,4 - 6,Pomanjkanje ozaveš?enosti.;Pomanjkanje primernih odlagališ? v moji bližini.;,Da,Pametni telefoni;Baterije;Prenosni in tabli?ni ra?unalniki;Polnilniki in kabli;Gospodinjski elektri?ni aparati;,Morda jih želijo obdržati za vsak slu?aj,Nevem ?e bi sploh mo?no koristilo
9,12/20/2025 17:56,12/20/2025 17:59,anonymous,,English (United Kingdom)?,22,Moški,Fakulteta za matematiko in fiziko,Dodiplomski študij,Samsung,Med 200€ in 400€.,2025,2030-2033,Po?asno delovanje / zastarelost.,Shranil/-a sem ga oziroma obdržal/-a doma.,1 - 3,Udobje / priro?nost.;,Da,Pametni telefoni;Baterije;Polnilniki in kabli;Prenosni in tabli?ni ra?unalniki;Gospodinjski elektri?ni aparati;,Because you want to keep it?,Paying me
10,12/20/2025 17:56,12/20/2025 17:59,anonymous,,Slovenš?ina,22,Non-binary asexual furry,Fakulteta za matematiko in fiziko,Podiplomski študij (Magisterij),Samsung,Med 600€ in 800€.,2023,Nimam ga namena zamenjati dokler deluje.,Ati kupil nov telefon in mu je ta bil odve?.,Shranil/-a sem ga oziroma obdržal/-a doma.,7 - 10,?ez nekaj desetletij bodo ogromno vredni.;,Da,Gospodinjski elektri?ni aparati;Prenosni in tabli?ni ra?unalniki;Polnilniki in kabli;Pametni telefoni;,Kdo pa je rekel da jih ne?,"Postavila škatlo za e-odpadke, ?e ta še ni postavljena."
11,12/20/2025 18:01,12/20/2025 18:02,anonymous,,Slovenš?ina,22,Ženska,Fakulteta za matematiko in fiziko,Dodiplomski študij,Samsung,Med 200€ in 400€.,2022,V naslednji 6 mesecih.,"Nepopravljive poškodbe ali poškodbe, ki so predrage za popravilo.",Shranil/-a sem ga oziroma obdržal/-a doma.,1 - 3,Skrb glede varnosti osebnih podatkov.;Udobje / priro?nost.;,Da,Pametni telefoni;Baterije;Polnilniki in kabli;Prenosni in tabli?ni ra?unalniki;Gospodinjski elektri?ni aparati;,,
12,12/20/2025 18:02,12/20/2025 18:06,anonymous,,Slovenš?ina,23,Moški,Fakulteta za matematiko in fiziko,Dodiplomski študij,Samsung,Med 800€ in 1000€.,2020,V naslednji 6 mesecih.,Darilo za rojstni dan.,Shranil/-a sem ga oziroma obdržal/-a doma.,1 - 3,Zadovoljivo deluje za nujne primere. ;,Da,Pametni telefoni;Polnilniki in kabli;Prenosni in tabli?ni ra?unalniki;Gospodinjski elektri?ni aparati;,"Kombinacija neozaveš?enosti in oddaljenost od zbirališ? - ne vem, kje je meni najbližje zbirališ?e.",/
13,12/20/2025 18:04,12/20/2025 18:06,anonymous,,Slovenš?ina,23,Ženska,Fakulteta za matematiko in fiziko,Dodiplomski študij,Xiaomi,Ne vem. / Ne spomnim se.,2023,Nimam ga namena zamenjati dokler deluje.,Po?asno delovanje / zastarelost.,Shranil/-a sem ga oziroma obdržal/-a doma.,1 - 3,Okoljska odgovornost.;Pomanjkanje primernih odlagališ? v moji bližini.;Udobje / priro?nost.;Finan?na korist.;,Da,Pametni telefoni;Baterije;Polnilniki in kabli;Prenosni in tabli?ni ra?unalniki;Gospodinjski elektri?ni aparati;,Nedostopnost odlagališ?a ,Ne vem 
14,12/20/2025 18:04,12/20/2025 18:07,anonymous,,Slovenš?ina,19,Ženska,Fakulteta za matematiko in fiziko,Dodiplomski študij,Samsung,Manj kot 200€.,2023,Nimam ga namena zamenjati dokler deluje.,"Nepopravljive poškodbe ali poškodbe, ki so predrage za popravilo.",Shranil/-a sem ga oziroma obdržal/-a doma.,1 - 3,Pomanjkanje primernih odlagališ? v moji bližini.;,Da,Baterije;Prenosni in tabli?ni ra?unalniki;Pametni telefoni;Polnilniki in kabli;Gospodinjski elektri?ni aparati;,"Ib?utek da jih bodo še potrebovali, pomanjkaje odlagališ?",Prostor za odaganje e odpadkov
15,12/20/2025 18:07,12/20/2025 18:10,anonymous,,English (United Kingdom)?,22,Moški,Fakulteta za matematiko in fiziko,Dodiplomski študij,Xiaomi,Med 200€ in 400€.,2024,Nimam ga namena zamenjati dokler deluje.,"Nepopravljive poškodbe ali poškodbe, ki so predrage za popravilo.",Shranil/-a sem ga oziroma obdržal/-a doma.,1 - 3,Udobje / priro?nost.;,Da,Pametni telefoni;Prenosni in tabli?ni ra?unalniki;Gospodinjski elektri?ni aparati;,They don't bother,Have e-waste disposal at most if its buildings
16,12/20/2025 17:57,12/20/2025 18:21,anonymous,,Slovenš?ina,21,Moški,Fakulteta za matematiko in fiziko,Dodiplomski študij,Samsung,Med 800€ in 1000€.,2024,Nimam ga namena zamenjati dokler deluje.,Slaba baterija in nekaj poškodb,Shranil/-a sem ga oziroma obdržal/-a doma.,1 - 3,Udobje / priro?nost.;Skrb glede varnosti osebnih podatkov.;,Da,Baterije;Pametni telefoni;Polnilniki in kabli;Prenosni in tabli?ni ra?unalniki;Gospodinjski elektri?ni aparati;,"Ne vedo, kje so, manj problemov s prenosom podatkov iz starega telefona",
17,12/20/2025 18:13,12/20/2025 18:22,anonymous,,English (United Kingdom)?,21,Moški,Fakulteta za matematiko in fiziko,Dodiplomski študij,Apple,Manj kot 200€.,Ne vem. / Ne spomnim se.,Nimam ga namena zamenjati dokler deluje.,"Telefone ze od nekdaj podedujem od starsev, ki ponavadi menjajo telefon vsaka 2-3 leta",Shranil/-a sem ga oziroma obdržal/-a doma.,4 - 6,Udobje / priro?nost.;,Ne,Nisem prepri?an/-a;,,
18,12/20/2025 18:27,12/20/2025 18:30,anonymous,,Slovenš?ina,21,Moški,Fakulteta za matematiko in fiziko,Dodiplomski študij,Xiaomi,Manj kot 200€.,2025,Nimam ga namena zamenjati dokler deluje.,"Nepopravljive poškodbe ali poškodbe, ki so predrage za popravilo.",Shranil/-a sem ga oziroma obdržal/-a doma.,1 - 3,Udobje / priro?nost.;Pomanjkanje ozaveš?enosti.;,Ne,Pametni telefoni;Polnilniki in kabli;Prenosni in tabli?ni ra?unalniki;Gospodinjski elektri?ni aparati;,,
19,12/20/2025 18:29,12/20/2025 18:31,anonymous,,Slovenš?ina,20,Moški,Fakulteta za matematiko in fiziko,Dodiplomski študij,Xiaomi,Ne vem. / Ne spomnim se.,2023,Nimam ga namena zamenjati dokler deluje.,"Nepopravljive poškodbe ali poškodbe, ki so predrage za popravilo.",Shranil/-a sem ga oziroma obdržal/-a doma.,7 - 10,Udobje / priro?nost.;,Da,Pametni telefoni;Baterije;Polnilniki in kabli;Prenosni in tabli?ni ra?unalniki;Gospodinjski elektri?ni aparati;,,
20,12/20/2025 18:24,12/20/2025 18:33,anonymous,,Slovenš?ina,24,Moški,Fakulteta za matematiko in fiziko,Podiplomski študij (Magisterij),Xiaomi,Med 200€ in 400€.,2024,Nimam ga namena zamenjati dokler deluje.,Po?asno delovanje / zastarelost.,Shranil/-a sem ga oziroma obdržal/-a doma.,1 - 3,V?asih še vedno za kakšen namen uporabim stare telefone.;,Da,Pametni telefoni;Baterije;Polnilniki in kabli;Prenosni in tabli?ni ra?unalniki;,Neozaveš?enost,Obvestilo na reklamnem panoju
21,12/20/2025 18:32,12/20/2025 18:33,anonymous,,Slovenš?ina,Dvajset,Moški,Fakulteta za matematiko in fiziko,Dodiplomski študij,Xiaomi,Med 200€ in 400€.,2024,Nimam ga namena zamenjati dokler deluje.,"Nepopravljive poškodbe ali poškodbe, ki so predrage za popravilo.",Shranil/-a sem ga oziroma obdržal/-a doma.,1 - 3,Nisem se še ukvarjal z njim;,Da,Pametni telefoni;Baterije;Polnilniki in kabli;Prenosni in tabli?ni ra?unalniki;Gospodinjski elektri?ni aparati;,,
22,12/20/2025 18:32,12/20/2025 18:34,anonymous,,Slovenš?ina,21,Moški,Fakulteta za matematiko in fiziko,Dodiplomski študij,Samsung,Med 200€ in 400€.,2023,Nimam ga namena zamenjati dokler deluje.,Ugodna ponudba pri operaterju.,Shranil/-a sem ga oziroma obdržal/-a doma.,4 - 6,Udobje / priro?nost.;Pomanjkanje primernih odlagališ? v moji bližini.;Skrb glede varnosti osebnih podatkov.;,Da,Pametni telefoni;Baterije;Polnilniki in kabli;Prenosni in tabli?ni ra?unalniki;Gospodinjski elektri?ni aparati;,"ker je obupna dostopnost, ve?ina sploh za to ne ve, skrb osebnih podatkov ",menjalnica: telefon keš
23,12/20/2025 18:31,12/20/2025 18:34,anonymous,,Slovenš?ina,22,Ne želim odgovoriti.,Fakulteta za matematiko in fiziko,Podiplomski študij (Magisterij),Fairphone,Med 400€ in 600€.,2022,Nimam ga namena zamenjati dokler deluje.,Po?asno delovanje / zastarelost.,Shranil/-a sem ga oziroma obdržal/-a doma.,1 - 3,"Za rezervo, ?e trenutni kadarkoli odpove;",Da,Pametni telefoni;Baterije;Polnilniki in kabli;Prenosni in tabli?ni ra?unalniki;Gospodinjski elektri?ni aparati;,"Študenti FMF in FRI znajo stare naprave uporabiti za druge namene dokler delujejo, tudi, ?e so sicer po?asne/imajo slabo baterijo.","Pomoje to nima smisla, ker znamo stare naprave uporabiti/prodati/podariti, kar je bolje, kot da jih vržemo v smeti. E-odpadki so problem predvsem, ?e jih je ve? kot je potrebno, ali ?e jih ne me?emo v prave smeti."
24,12/20/2025 18:38,12/20/2025 18:40,anonymous,,English (United Kingdom)?,23,Moški,Fakulteta za matematiko in fiziko,Podiplomski študij (Magisterij),Apple,Med 400€ in 600€.,2022,Nimam ga namena zamenjati dokler deluje.,"Nepopravljive poškodbe ali poškodbe, ki so predrage za popravilo.",Oddal/-a sem ga na ekološkem otoku v za to namenjen smetnjak.,,Pomanjkanje ozaveš?enosti.;,Da,Pametni telefoni;Baterije;Polnilniki in kabli;Prenosni in tabli?ni ra?unalniki;Gospodinjski elektri?ni aparati;,Never heard of them,"More bins, money returns"
25,12/20/2025 18:38,12/20/2025 18:41,anonymous,,Slovenš?ina,19,Moški,Fakulteta za matematiko in fiziko,Dodiplomski študij,Google,Manj kot 200€.,2025,Nimam ga namena zamenjati dokler deluje.,operacijski sistem brez Googla,Prodal/-a sem ga drugi osebi.,,Finan?na korist.;Okoljska odgovornost.;,Da,Pametni telefoni;Prenosni in tabli?ni ra?unalniki;Gospodinjski elektri?ni aparati;Polnilniki in kabli;Baterije;,Neozaveš?enost ali neseznanjenost z mesti takih odlagališ?,Javni seznami položajev odlagališ? takih odpadkov.
