timestamp,age,faculty,study_program,study_year,phone_brand,phone_model,phone_price,purchase_year,phone_age,replacement_plan,replacement_reason,disposal_plan,prev_phone_replacement_reason,prev_phone_disposal,additional_info
2025/11/04 12:13:27 pop. GMT +1,22,Faculty of Mathematics and Physics,University Study Program PHYSICS,2nd year,Samsung,Samsung Galaxy A52s 5G,Up to €200,2021.0,4.0,In the next year,I want a newer model,Keep it as a backup phone,Wanted a newer model,Kept it as a backup phone,
2025/11/04 12:20:08 pop. GMT +1,21,Faculty of Mathematics and Physics,University Study Program PHYSICS,2nd year,Oneplus,Nord 10 5G,€200–400,2022.0,3.0,In 3 years,I want a newer model,Keep it as a backup phone,"Damage - screen, water, etc.",Kept it as a backup phone,Zares nočem zamenjat telefona in ga bom imela dokler bo dihal...in potem bom verjetno ostala na oneplusu ali pa gem na google
2025/11/04 12:22:25 pop. GMT +1,22,Faculty of Mathematics and Physics,Master’s Study Program PHYSICS,1st year,Samsung,Galaxy S22+,I don’t know / received it as a gift,2023.0,2.0,I don’t plan to replace it as long as it works,Damage,Keep it as a backup phone,Wanted a newer model,Kept it as a backup phone,
2025/11/04 12:25:28 pop. GMT +1,22,Faculty of Mathematics and Physics,,1st year postgraduate,Apple,Iphone 13,€400–600,2022.0,3.0,I don’t plan to replace it as long as it works,Damage,Not sure yet,It broke down,Discarded it,
2025/11/04 12:33:09 pop. GMT +1,22,Faculty of Mathematics and Physics,University Study Program PHYSICS,3rd year,Samsung,Samsung Galaxy A51,€200–400,2020.0,5.0,In the next year,Slaba baterija in starost,Keep it as a backup phone,Zastarelost,Kept it as a backup phone,
2025/11/04 12:33:36 pop. GMT +1,21,Faculty of Computer and Information Science,"Computer Science and Informatics, higher professional program",3rd year,Apple,16 pro max,€600–800,2025.0,0.0,In 2 years,Stari telefon dam mami,Give it to a family member/friend,Operator offer,Gave it away,
2025/11/04 12:34:06 pop. GMT +1,22,Faculty of Mathematics and Physics,University Study Program PHYSICS,2nd year,Samsung,SM-A546B/DS,€200–400,2023.0,2.0,I don’t plan to replace it as long as it works,,Not sure yet,It broke down,"nekam dal, ne vem kam","https://youtu.be/0rlS80hRIVQ
it's not a rickroll, that song's link is https://youtu.be/dQw4w9WgXcQ"
2025/11/04 12:38:28 pop. GMT +1,21,Faculty of Mathematics and Physics,University Study Program PHYSICS,3rd year,Xiaomi,Redmi note 14,Up to €200,2025.0,0.0,I don’t plan to replace it as long as it works,Damage,Keep it as a backup phone,"Damage - screen, water, etc.",Kept it as a backup phone,
2025/11/04 12:39:51 pop. GMT +1,21,Faculty of Mathematics and Physics,University Study Program PHYSICS,2nd year,Xiaomi,Note 9 Pro ,€200–400,2020.0,5.0,In 2 years,Slow or outdated performance,Keep it as a backup phone,Počasno delovanje,Kept it as a backup phone,
2025/11/04 12:40:12 pop. GMT +1,24,Faculty of Mathematics and Physics,Master’s Study Program EDUCATIONAL PHYSICS,Absolvent po 2. letniku,Samsung,A54,€400–600,2023.0,2.0,I don’t plan to replace it as long as it works,Poor battery performance,Keep it as a backup phone,Nezanesljivo delovanje,Obdržal kot off-line predvajalnik glasbe,"Že preventivno uporabljam nastavitve, ki naj bi podaljšale življenjsko dobo (npr. polnjenje le do 80 %), podobno prilagajam tudi uporabo.

Pri prejšnjem telefonu je bila za kriva kombinacija faktorjev (nezanesljivo delovanje, premalo vgrajene shrambe za vse uporabljane aplikacije, počasno delovanje)."
